region,station_name,latitude,longitude,population_est,population_weight
caiso,Los Angeles,34.0522,-118.2437,7672425.81,0.47738088569705167
caiso,San Francisco,37.7749,-122.4194,2606153.78,0.16215575498137258
caiso,San Diego,32.7157,-117.1611,2938801.13,0.18285318373471457
caiso,Sacramento,38.5816,-121.4944,1916975.5,0.11927485318356548
caiso,Fresno,36.7378,-119.7871,937560.44,0.05833532240329574
pge,San Francisco,37.7749,-122.4194,2606153.78,0.24258390549885614
pge,San Jose,37.3382,-121.8863,2125809.31,0.1978728687167603
pge,Oakland,37.8044,-122.2711,3156809.66,0.2938396122731162
pge,Sacramento,38.5816,-121.4944,1916975.5,0.17843436834169568
pge,Fresno,36.7378,-119.7871,937560.44,0.08726924516957169
sce,Los Angeles,34.0522,-118.2437,7672425.81,0.5471859234220284
sce,Riverside,33.9806,-117.3755,2966642.75,0.21157651997185173
sce,San Bernardino,34.1083,-117.2898,2227525.0,0.15886374847470228
sce,Bakersfield,35.3733,-119.0187,732127.06,0.05221420595116251
sce,Palm Springs,33.8303,-116.5453,422886.08,0.030159602180255138
sdge,San Diego,32.7157,-117.1611,2938801.13,0.25416362525702957
sdge,Chula Vista,32.6401,-117.0842,3864044.74,0.3341837626398886
sdge,Oceanside,33.1959,-117.3795,844576.81,0.07304363049486695
sdge,El Cajon,32.7948,-116.9625,2602049.91,0.22503953448028227
sdge,Escondido,33.1192,-117.0864,1313162.02,0.11356944712793272
vea,Lancaster,34.6868,-118.1542,407329.84,0.30569580179526884
vea,Palmdale,34.5794,-118.1165,401633.17,0.3014205242874558
vea,Victorville,34.5361,-117.2912,434282.28,0.3259232610851133
vea,Barstow,34.8958,-117.0173,44075.67,0.03307822299567759
vea,Ridgecrest,35.6225,-117.6709,45146.93,0.03388218983648454
mwd,Los Angeles,34.0522,-118.2437,7672425.81,0.29916794407967423
mwd,Long Beach,33.7701,-118.1937,5436558.0,0.21198561185303993
mwd,Anaheim,33.8366,-117.9143,5438549.5,0.21206326564538527
mwd,Santa Ana,33.7455,-117.8677,4131706.0,0.1611060204649479
mwd,Riverside,33.9806,-117.3755,2966642.75,0.11567715795695273
